dataset,aldi_bin,n,mae,mse,pearson,spearman,mean_prediction,mean_ground_truth,prediction_std,error_mean,error_std
casablanca,0-0.2,424,0.23815640626351112,0.10530450778445713,0.37204625521296425,0.47248752836671776,0.2943779491085805,0.06339939096135325,0.2437503680010477,0.23097855814722726,0.22793291438641566
casablanca,0.2-0.4,359,0.22232006851345051,0.07406780535208206,0.21357099960168496,0.20256065109475424,0.4800408233507098,0.3160656424119944,0.22215080846271226,0.16397518093871538,0.21720945050388027
casablanca,0.4-0.6,670,0.17271735731845916,0.04311524216866403,0.20222224690568574,0.2082591726164643,0.5847196756319991,0.5095072650642537,0.19689085915495336,0.07521241056774534,0.1935415600465516
casablanca,0.6-0.8,1324,0.13809173293636826,0.03180726500710296,0.13969816373011915,0.14221126114091157,0.691677903767754,0.7122055193538752,0.17590445455720757,-0.020527615586121276,0.17716061076167974
casablanca,0.8-1.0,3978,0.12274875244441315,0.031505762658995635,0.2907270065334066,0.3510059787670455,0.8139727864116655,0.9216634229896894,0.14687735422434522,-0.10769063657802394,0.14109744665448629
casablanca,>1.0,64,0.10329820308834314,0.022661345071591066,,,0.8975934451445937,1.0,0.11033695026706933,-0.10240655485540628,0.11033695026706933
mediaspeech,0-0.2,1260,0.05849394125535611,0.006913845389735054,0.3287501873510389,0.3271227759309471,0.06689897962653685,0.05606273183709221,0.08109641933240667,0.010836247789444631,0.08244040953064712
mediaspeech,0.2-0.4,326,0.13446573834820577,0.02620901799608101,0.27984538619714877,0.27925358594801947,0.21271913421505984,0.29127675454857893,0.14645900938650006,-0.07855762033351908,0.14155464769344622
mediaspeech,0.4-0.6,176,0.14097018831473013,0.033639305539718646,0.34285504043260306,0.34728373321593664,0.38345740697960456,0.49380145950073545,0.15587431996720363,-0.11034405252113091,0.14650425117699672
mediaspeech,0.6-0.8,127,0.16865646082350588,0.04507979221778159,0.2829950725617722,0.28009584739407567,0.5548246015361914,0.694027463751515,0.16686720305457783,-0.1392028622153237,0.1603195414440897
mediaspeech,0.8-1.0,55,0.1562996815551411,0.03569583239664571,0.4269664499792838,0.4510822510822512,0.7331234081224962,0.885960345918482,0.12279144340223526,-0.15283693779598584,0.11107071099885726
mediaspeech,<0.0,561,0.03458339176986248,0.0032989462989546203,0.15746231778934122,0.17962107810256223,0.023797626369724087,-0.00304438502286065,0.05101191089898868,0.026842011392584738,0.05077846712293481
sada_test,0-0.2,890,0.18289476274527833,0.06820328974927878,0.2965509072125842,0.35841464813566615,0.2293144200143687,0.060853877490996404,0.20894137142147506,0.16846054252337228,0.1995603551861187
sada_test,0.2-0.4,558,0.1771146517320399,0.05053267210862699,0.23982624332930763,0.2419249731997064,0.40363825459407116,0.307150862470109,0.20901428477930536,0.09648739212396218,0.20303412341215887
sada_test,0.4-0.6,642,0.16479462219222313,0.039367949539124196,0.22825928478145338,0.21967563097773976,0.5410467262185437,0.5057825713978378,0.2000966292628134,0.03526415482070587,0.19525467708586516
sada_test,0.6-0.8,1153,0.1303089934822046,0.030429962355694718,0.22118769681336378,0.23355900636917787,0.6902788209923562,0.7105660514529643,0.176787866270009,-0.0202872304606081,0.17325816181621256
sada_test,0.8-1.0,2688,0.09717564633770269,0.02574211611567607,0.3509928283272796,0.48410701930222894,0.8405395806683893,0.9153505986379016,0.15155870712175354,-0.07481101796951234,0.14193458953349383
sada_test,<0.0,221,0.09708333727899714,0.031178891945063826,0.17577298559191,0.1987098954787078,0.08600255424721479,-0.003003995481109967,0.15281080616998574,0.08900654972832475,0.1525015608133998
sada_test,>1.0,41,0.047268432814900466,0.004004751793462984,0.11564309267589672,0.06898954703832753,0.955806099786991,1.0022190518495513,0.04318584069096372,-0.04641295206256029,0.04301848061358588
