dataset,dialect,n,mae,mse,pearson,spearman,mean_prediction,mean_ground_truth,prediction_std,error_mean,error_std
casablanca,Algeria,844,0.16176498957820815,0.047735099620473155,0.5832873975987014,0.5126166573038025,0.7280544390553229,0.778524893216962,0.2090391929899769,-0.05047045416163912,0.21257429966294383
casablanca,Egypt,846,0.15015360954876475,0.04680543298181899,0.6535397945580894,0.6270566636488428,0.7203762776176522,0.7935115871922087,0.23083138170246564,-0.07313530957455644,0.20360908495264343
casablanca,Jordan,848,0.11628569348345683,0.02550349859195544,0.7814662636377647,0.7149043508251686,0.7268936984539734,0.7857156492812825,0.2247895959308371,-0.05882195082730899,0.14847045730658032
casablanca,Mauritania,953,0.1817739740738954,0.05686855884001403,0.552666961041275,0.48509051708702056,0.6642550602594365,0.672291001837465,0.22328288271917984,-0.008035941578028578,0.23833586067348014
casablanca,Morocco,1045,0.1385492312164897,0.03684662193427707,0.5932320342780958,0.5201961927548158,0.761100388378903,0.8174561778083443,0.19166819612211966,-0.056355789429441305,0.18349563191548057
casablanca,Palestine,667,0.12430124522924753,0.03248637298171619,0.7537881707989691,0.7064039206773356,0.7273738268201521,0.7756173371575071,0.23455942326637097,-0.048243510337355175,0.17366328538884
casablanca,UAE,813,0.11280330694607044,0.02700894631060977,0.7856983546861948,0.7107039222891377,0.7520001924872801,0.7518317452961233,0.2271790627154723,0.00016844719115685934,0.16434390142671423
casablanca,Yemen,803,0.1487527906597194,0.03882914903240748,0.7207425590997004,0.6551012461806793,0.6661055381334436,0.668583178908099,0.2419536558909503,-0.002477640774655405,0.1970355560009392
mediaspeech,MSA,2505,0.07655332759268149,0.013059966506972605,0.8628260434237089,0.7044153765230424,0.13782939558770663,0.15475677760232992,0.19271772572005158,-0.016927382014623283,0.11301960115441752
sada_test,SADA,6193,0.12954178783820108,0.036413316191834987,0.8254357759564458,0.8176409921158233,0.6281492759776043,0.6249692729938919,0.301132307780398,0.0031800029837122388,0.19079623626491843
