dataset,duration_bin,n,mae,mse,pearson,spearman,mean_prediction,mean_ground_truth,prediction_std,error_mean,error_std
casablanca,0-5s,4953,0.15539056446629185,0.0453424528362963,0.6539379469428279,0.5988583215927245,0.6945600435605949,0.7332490259905252,0.22968078343404788,-0.038688982429930345,0.20939344658998488
casablanca,10-15s,254,0.10135854895072659,0.021839662863645932,0.75064901756718,0.6748656093904256,0.7962969830993005,0.8275350290680612,0.1908704134755976,-0.031238045968760654,0.14444323226686506
casablanca,15-20s,69,0.11879819753053396,0.03196283450302628,0.8218542077546444,0.7297672554105742,0.7319214855577203,0.7455566552994044,0.2578050240469346,-0.013635169741684112,0.1782608107497039
casablanca,20-30s,19,0.08343794515454456,0.010442369276949377,0.9490380755556295,0.8245614035087718,0.7319546866377717,0.7640688092398801,0.25939188597445056,-0.032114122602108275,0.0970105788378058
casablanca,30s+,2,0.04458218812942505,0.003023700127279483,1.0,0.9999999999999999,0.937997967004776,0.982580155134201,0.033377617597579956,-0.04458218812942505,0.03218895196914673
casablanca,5-10s,1522,0.11102813974104861,0.0239693845096688,0.7249836705282195,0.6192173837041405,0.7828011242807421,0.8181036657347184,0.19385507946946942,-0.035302541453976294,0.15074188229075253
sada_test,0-5s,3981,0.15384458625529707,0.048254715783258954,0.7752940022627404,0.7751018061175897,0.5698749904551924,0.5657290071841566,0.30089478769856143,0.004145983271035744,0.2196304318758565
sada_test,10-15s,445,0.07736623162453408,0.012025495883824034,0.928029452414151,0.8279038700109895,0.7355581550136878,0.7388452077984256,0.2787105774139737,-0.003287052784737702,0.10961154669018397
sada_test,15-20s,223,0.07887605397289645,0.011551960609096378,0.9388309395691058,0.8699822099485776,0.6948448478707818,0.6930533934722868,0.3009735990288577,0.0017914543984950658,0.10746511666691891
sada_test,20-30s,342,0.06440923606693658,0.008150868318292842,0.9569030262459106,0.8919322364802426,0.7185356303210757,0.7195621109979461,0.2999155513287229,-0.0010264806768704446,0.09027632389343761
sada_test,30s+,153,0.0625131552049044,0.007114525910760089,0.9692781576632372,0.8897712194925816,0.686903083587394,0.6930098695542779,0.3215530790444903,-0.006106785966883858,0.08412629241750023
sada_test,5-10s,1049,0.10122706349811761,0.020593032725974812,0.8472365433169169,0.7715370737139101,0.7515223943872521,0.7462438072767626,0.24088907836887938,0.005278587110489416,0.1434056109226267
