id,split,path,duration_sec,text,sampling_rate_hint,ALDi,ALDi_bin,resolved_path,dataset,true_aldi,predicted_aldi,dialect,text_x,dialect_x,dialect_y,audio_path,duration,text_y,error,abs_error,text_aldi,gap
248_3,,02 - المسلسل المصري و انت عامل ايه الحلقة 2_154.6846875_160.43906250000003_248_3.wav,0.6625586078,عايزة ايه دي؟,,0.964959442615509,,,casablanca,0.964959442615509,0.0882329940795898,Egypt,عايزة ايه دي؟,unknown,Egypt,02 - المسلسل المصري و انت عامل ايه الحلقة 2_154.6846875_160.43906250000003_248_3.wav,0.6625586078,عايزة ايه دي؟,-0.8767264485359192,0.8767264485359192,0.9649595022201538,0.876726508140564
3417_1,,18 - المسلسل المصري و انت عامل ايه الحلقة 18_1263.5071874999999_1270.2403125_3417_1.wav,0.8368855932,إسمك ياض؟!,,0.924405038356781,,,casablanca,0.924405038356781,0.0822342783212661,Egypt,إسمك ياض؟!,unknown,Egypt,18 - المسلسل المصري و انت عامل ايه الحلقة 18_1263.5071874999999_1270.2403125_3417_1.wav,0.8368855932,إسمك ياض؟!,-0.8421707600355148,0.8421707600355148,0.9244050979614258,0.8421708196401597
17734_2,,20 - Al Sir Laqdim - Ep 21 - السر القديم الحلقة_551.0109375000001_556.1746875_17734_2.wav,1.368502307,و لا ماشي ديال اللوكال.,,0.9271750450134276,,,casablanca,0.9271750450134276,0.0951626822352409,Morocco,و لا ماشي ديال اللوكال.,unknown,Morocco,20 - Al Sir Laqdim - Ep 21 - السر القديم الحلقة_551.0109375000001_556.1746875_17734_2.wav,1.368502307,و لا ماشي ديال اللوكال.,-0.8320123627781868,0.8320123627781868,0.9271751642227173,0.8320124819874763
49591_1,,28 - مسلسل كفر اللوز - الجزء الثاني - الحلقة السادسة_2227.7953125000004_2232.9759375000003_49591_1.wav,4.77858045,كتير هدول سيئين خاصة في اعتدائاتهم على ام الحيطان، خصوصاً هادا سعيد الوغد,,0.9375727772712708,,,casablanca,0.9375727772712708,0.1266015022993087,Palestine,كتير هدول سيئين خاصة في اعتدائاتهم على ام الحيطان، خصوصاً هادا سعيد الوغد,unknown,Palestine,28 - مسلسل كفر اللوز - الجزء الثاني - الحلقة السادسة_2227.7953125000004_2232.9759375000003_49591_1.wav,4.77858045,كتير هدول سيئين خاصة في اعتدائاتهم على ام الحيطان، خصوصاً هادا سعيد الوغد,-0.810971274971962,0.810971274971962,0.9375727772712708,0.8109712749719621
14764_1,,02 - Waadi 2 S2 épisode وعدي الجزء الثاني الحلقة 02‏_534.4734375_547.8215625_14764_1.wav,1.76371528,ماكينش شي قنت آخر عاسين عليه فيه؟,,0.9564515352249146,,,casablanca,0.9564515352249146,0.1735428720712661,Morocco,ماكينش شي قنت آخر عاسين عليه فيه؟,unknown,Morocco,02 - Waadi 2 S2 épisode وعدي الجزء الثاني الحلقة 02‏_534.4734375_547.8215625_14764_1.wav,1.76371528,ماكينش شي قنت آخر عاسين عليه فيه؟,-0.7829086631536484,0.7829086631536484,0.9564515948295593,0.7829087227582933
20050_1,,04 - غربة البن _ الحلقة  4 _ محمد قحطان - صلاح الوافي - عمار العزكي - سالي حماده - شروق _ يمن شباب_192.5184375_196.95656250000002_20050_1.wav,4.421588611,لا حولا ولا قوة الا بالله العلي العظيم ، بعدين شيقتلونك  لمه ؟,,0.8624290823936462,,,casablanca,0.8624290823936462,0.1092645451426506,Yemen,لا حولا ولا قوة الا بالله العلي العظيم ، بعدين شيقتلونك  لمه ؟,unknown,Yemen,04 - غربة البن _ الحلقة  4 _ محمد قحطان - صلاح الوافي - عمار العزكي - سالي حماده - شروق _ يمن شباب_192.5184375_196.95656250000002_20050_1.wav,4.421588611,لا حولا ولا قوة الا بالله العلي العظيم ، بعدين شيقتلونك  لمه ؟,-0.7531645372509956,0.7531645372509956,0.8624290823936462,0.7531645372509956
1237_1,,06 - مسلسل الدالي الجزء الاول _ الحلقة _6_ El Daly Part 1 Episode_347.58281250000005_353.42156250000005_1237_1.wav,2.946099192,و من المجموعة بتاعت الخلية و هاتلي النتيجة. ,,0.8803287148475647,,,casablanca,0.8803287148475647,0.1298306137323379,Egypt,و من المجموعة بتاعت الخلية و هاتلي النتيجة. ,unknown,Egypt,06 - مسلسل الدالي الجزء الاول _ الحلقة _6_ El Daly Part 1 Episode_347.58281250000005_353.42156250000005_1237_1.wav,2.946099192,و من المجموعة بتاعت الخلية و هاتلي النتيجة. ,-0.7504981011152267,0.7504981011152267,0.8803287744522095,0.7504981607198715
19362_2,,30 - Waadi S2 épisode وعدي الجزء الثاني الحلقة 30‏_622.5609375_635.2509375000001_19362_2.wav,0.8850321888,نتا حتارمتي راسك؟,,0.9026743769645692,,,casablanca,0.9026743769645692,0.153249055147171,Morocco,نتا حتارمتي راسك؟,unknown,Morocco,30 - Waadi S2 épisode وعدي الجزء الثاني الحلقة 30‏_622.5609375_635.2509375000001_19362_2.wav,0.8850321888,نتا حتارمتي راسك؟,-0.7494253218173981,0.7494253218173981,0.9026744365692139,0.7494253814220428
11441_1,,"02 - Sultan Achour 10, S2 EP2 L'Examen du BAC 1 _ 1 سلطان عاشور 10، موسم 2 الحلقة 2 إمتحان الباكالوريا_718.2084375000001_721.9209375_11441_1.wav",0.9838927838,راني نكونصونطري,,0.8176978230476379,,,casablanca,0.8176978230476379,0.087952546775341,Algeria,راني نكونصونطري,unknown,Algeria,"02 - Sultan Achour 10, S2 EP2 L'Examen du BAC 1 _ 1 سلطان عاشور 10، موسم 2 الحلقة 2 إمتحان الباكالوريا_718.2084375000001_721.9209375_11441_1.wav",0.9838927838,راني نكونصونطري,-0.7297452762722969,0.7297452762722969,0.8176979422569275,0.7297453954815865
49767_1,,29 - مسلسل كفر اللوز - الجزء الثاني - الحلقة الخامسة_2257.3434374999997_2263.4184375000004_49767_1.wav,0.6518240343,عمي أبو جبر,,0.8208740949630737,,,casablanca,0.8208740949630737,0.1287459284067154,Palestine,عمي أبو جبر,unknown,Palestine,29 - مسلسل كفر اللوز - الجزء الثاني - الحلقة الخامسة_2257.3434374999997_2263.4184375000004_49767_1.wav,0.6518240343,عمي أبو جبر,-0.6921281665563583,0.6921281665563583,0.8208741545677185,0.6921282261610031
