id,split,path,duration_sec,text,sampling_rate_hint,ALDi,ALDi_bin,resolved_path,dataset,true_aldi,predicted_aldi,dialect,text_x,dialect_x,dialect_y,audio_path,duration,text_y,error,abs_error,text_aldi,gap
78_5,,01 - المسلسل المصري و انت عامل ايه الحلقة 1_946.4596875000001_970.6584375000001_78_5.wav,9.295270736,[noise],,0.0390592962503433,,,casablanca,0.0390592962503433,0.961280882358551,Egypt,[noise],unknown,Egypt,01 - المسلسل المصري و انت عامل ايه الحلقة 1_946.4596875000001_970.6584375000001_78_5.wav,9.295270736,[noise],0.9222215861082076,0.9222215861082076,0.03905925899744034,0.9222216233611107
5185_5,,27 - المسلسل المصري و انت عامل ايه الحلقة 27_1080.0590625_1096.3771875000002_5185_5.wav,4.640075514,[noise],,0.0390592068433761,,,casablanca,0.0390592068433761,0.9310771822929382,Egypt,[noise],unknown,Egypt,27 - المسلسل المصري و انت عامل ايه الحلقة 27_1080.0590625_1096.3771875000002_5185_5.wav,4.640075514,[noise],0.8920179754495621,0.8920179754495621,0.03905925899744034,0.8920179232954979
11487_1,,02 - ناس ملاح سيتي 2 _ المربية المزيفة _ Nass mlah city_472.3059375_484.9959375_11487_1.wav,12.69,[موسيقى],,0.0027284566313028,,,casablanca,0.0027284566313028,0.8917447924613953,Algeria,[موسيقى],unknown,Algeria,02 - ناس ملاح سيتي 2 _ المربية المزيفة _ Nass mlah city_472.3059375_484.9959375_11487_1.wav,12.69,[موسيقى],0.8890163358300924,0.8890163358300924,0.0027284412644803524,0.8890163511969149
3970_2,,20 - مسلسل الدالي الجزء الاول _ الحلقة _20_ El Daly Part 1 Episode_753.7134375_761.8640625_3970_2.wav,1.388294959,[laughs],,0.014851083047688,,,casablanca,0.014851083047688,0.8845165967941284,Egypt,[laughs],unknown,Egypt,20 - مسلسل الدالي الجزء الاول _ الحلقة _20_ El Daly Part 1 Episode_753.7134375_761.8640625_3970_2.wav,1.388294959,[laughs],0.8696655137464404,0.8696655137464404,0.014851029962301254,0.8696655668318272
33404_3,,06 - مسلسل أيام الصبر (1995) الحلقة 5 الخامسة_2324.2865625000004_2343.2034375000003_33404_3.wav,2.305787728,جوف ابويه، قم قم بند القهوة سير سير جوفه ,,0.0391149222850799,,,casablanca,0.0391149222850799,0.893214762210846,UAE,جوف ابويه، قم قم بند القهوة سير سير جوفه ,unknown,UAE,06 - مسلسل أيام الصبر (1995) الحلقة 5 الخامسة_2324.2865625000004_2343.2034375000003_33404_3.wav,2.305787728,جوف ابويه، قم قم بند القهوة سير سير جوفه ,0.854099839925766,0.854099839925766,0.03911499306559563,0.8540997691452503
44373_2,,29 - عجيب غريب مخطط العائلة_842.5096875_847.5721875_44373_2.wav,1.696107795,أمي أمي، أبي همبا,,0.0793766751885414,,,casablanca,0.0793766751885414,0.9142401814460754,UAE,أمي أمي، أبي همبا,unknown,UAE,29 - عجيب غريب مخطط العائلة_842.5096875_847.5721875_44373_2.wav,1.696107795,أمي أمي، أبي همبا,0.834863506257534,0.834863506257534,0.07937652617692947,0.834863655269146
16529_5,,13 - Al Sir Laqdim - Ep 14 - السر القديم الحلقة_1469.3821875000003_1484.0803125000002_16529_5.wav,0.8598898916,ادخلي فحالاتك للدار ,,0.0792900994420051,,,casablanca,0.0792900994420051,0.9031885266304016,Morocco,ادخلي فحالاتك للدار ,unknown,Morocco,13 - Al Sir Laqdim - Ep 14 - السر القديم الحلقة_1469.3821875000003_1484.0803125000002_16529_5.wav,0.8598898916,ادخلي فحالاتك للدار ,0.8238984271883965,0.8238984271883965,0.07929003238677979,0.8238984942436218
46203_1,,21 - مسلسل عيال المرحوم _ نبيل الآنسي نجيبة عبدالله خالد البحري _ الحلقة 10_680.7290625_694.7521875000001_46203_1.wav,2.633098304,كل ما في نفسك ,,0.0075551616027951,,,casablanca,0.0075551616027951,0.8014687895774841,Yemen,كل ما في نفسك ,unknown,Yemen,21 - مسلسل عيال المرحوم _ نبيل الآنسي نجيبة عبدالله خالد البحري _ الحلقة 10_680.7290625_694.7521875000001_46203_1.wav,2.633098304,كل ما في نفسك ,0.793913627974689,0.793913627974689,0.007555103860795498,0.7939136857166886
60208_5,,02 - يوميات ابو اسرة ｜ الترحيل ｜｜قناة شنقيط_637.6134375_657.5934375_60208_5.wav,2.926363636,قلت لك آن في سلس البول لا نبول لك هون,,0.0322724245488643,,,casablanca,0.0322724245488643,0.8095527291297913,Mauritania,قلت لك آن في سلس البول لا نبول لك هون,unknown,Mauritania,02 - يوميات ابو اسرة ｜ الترحيل ｜｜قناة شنقيط_637.6134375_657.5934375_60208_5.wav,2.926363636,قلت لك آن في سلس البول لا نبول لك هون,0.7772803045809269,0.7772803045809269,0.03227239474654198,0.7772803343832493
60042_3,,02 - مسلسل جمل الدهر - الحلقة 18 - رمضان 2020 ｜ قناة الموريتانية_1136.0671875000003_1145.8884375000002_60042_3.wav,1.521136364,يغير بعد لا يلزمك شي,,0.1400309056043625,,,casablanca,0.1400309056043625,0.8989127278327942,Mauritania,يغير بعد لا يلزمك شي,unknown,Mauritania,02 - مسلسل جمل الدهر - الحلقة 18 - رمضان 2020 ｜ قناة الموريتانية_1136.0671875000003_1145.8884375000002_60042_3.wav,1.521136364,يغير بعد لا يلزمك شي,0.7588818222284317,0.7588818222284317,0.14003080129623413,0.7588819265365601
15920_3,,09 - Al Sir Laqdim - Ep 10 - السر القديم الحلقة_998.8903125_1022.1103125000001_15920_3.wav,1.420107296,بلا شك هبة هي لي عرضات عليك.,,0.162834882736206,,,casablanca,0.162834882736206,0.9034799933433532,Morocco,بلا شك هبة هي لي عرضات عليك.,unknown,Morocco,09 - Al Sir Laqdim - Ep 10 - السر القديم الحلقة_998.8903125_1022.1103125000001_15920_3.wav,1.420107296,بلا شك هبة هي لي عرضات عليك.,0.7406451106071472,0.7406451106071472,0.16283492743968964,0.7406450659036635
33616_4,,08 - مسلسل أيام الصبر (1995) الحلقة 7 السابعة_1443.1078125_1480.3509375000003_33616_4.wav,1.204379068,أنا فلوسي جاهزة,,0.0963678956031799,,,casablanca,0.0963678956031799,0.8363364934921265,UAE,أنا فلوسي جاهزة,unknown,UAE,08 - مسلسل أيام الصبر (1995) الحلقة 7 السابعة_1443.1078125_1480.3509375000003_33616_4.wav,1.204379068,أنا فلوسي جاهزة,0.7399685978889465,0.7399685978889465,0.09636786580085754,0.7399686276912689
65938_2,,17 - يوميات أسرة 2 الحلقة الثانية عشر_175.69406250000003_188.2996875_65938_2.wav,3.782133184,انت بعد كاع ذ من لكلام لكلام اعجل اعليا رد اعليا لخبار، اشفات اخلق.,,0.1340923756361007,,,casablanca,0.1340923756361007,0.8623070120811462,Mauritania,انت بعد كاع ذ من لكلام لكلام اعجل اعليا رد اعليا لخبار، اشفات اخلق.,unknown,Mauritania,17 - يوميات أسرة 2 الحلقة الثانية عشر_175.69406250000003_188.2996875_65938_2.wav,3.782133184,انت بعد كاع ذ من لكلام لكلام اعجل اعليا رد اعليا لخبار، اشفات اخلق.,0.7282146364450455,0.7282146364450455,0.1340920627117157,0.7282149493694305
74_4,,01 - المسلسل المصري و انت عامل ايه الحلقة 1_886.5028125000001_913.0471875000001_74_4.wav,2.092984087,الفصحى : هل أنت ستهينينني ، وأنا مشلول ، يا بسبوسة ؟,,0.1125013008713722,,,casablanca,0.1125013008713722,0.8279719948768616,Egypt,الفصحى : هل أنت ستهينينني ، وأنا مشلول ، يا بسبوسة ؟,unknown,Egypt,01 - المسلسل المصري و انت عامل ايه الحلقة 1_886.5028125000001_913.0471875000001_74_4.wav,2.092984087,الفصحى : هل أنت ستهينينني ، وأنا مشلول ، يا بسبوسة ؟,0.7154706940054893,0.7154706940054893,0.11250138282775879,0.7154706120491028
65030_1,,15 - مسلسل المرأة وطن آخر - الحلقة 25 - رمضان 2016- قناة الموريتانية_783.9703125000001_786.9909375000001_65030_1.wav,3.020612245,الناس المتعدلة الناس المطابقة.,,0.1529112160205841,,,casablanca,0.1529112160205841,0.836373507976532,Mauritania,الناس المتعدلة الناس المطابقة.,unknown,Mauritania,15 - مسلسل المرأة وطن آخر - الحلقة 25 - رمضان 2016- قناة الموريتانية_783.9703125000001_786.9909375000001_65030_1.wav,3.020612245,الناس المتعدلة الناس المطابقة.,0.6834622919559479,0.6834622919559479,0.15291133522987366,0.6834621727466583
11390_1,,"02 - Sultan Achour 10, S2 EP2 L'Examen du BAC 1 _ 1 سلطان عاشور 10، موسم 2 الحلقة 2 إمتحان الباكالوريا_1378.9490625000003_1390.9640625000002_11390_1.wav",3.367679489,كيفاه لقمان قبل يجوز الباك مع سكان المملكة ، فيها اللوش,,0.1387759149074554,,,casablanca,0.1387759149074554,0.8006949424743652,Algeria,كيفاه لقمان قبل يجوز الباك مع سكان المملكة ، فيها اللوش,unknown,Algeria,"02 - Sultan Achour 10, S2 EP2 L'Examen du BAC 1 _ 1 سلطان عاشور 10، موسم 2 الحلقة 2 إمتحان الباكالوريا_1378.9490625000003_1390.9640625000002_11390_1.wav",3.367679489,كيفاه لقمان قبل يجوز الباك مع سكان المملكة ، فيها اللوش,0.6619190275669098,0.6619190275669098,0.13877587020397186,0.6619190722703934
49072_1,,24 - مسلسل كفر اللوز - الجزء الثاني - الحلقة العاشرة_995.4478125_1000.8815625000001_49072_1.wav,5.140158337,بنطالب بإطلاق سراح سلامة و شفيق فوراً و حالاً,,0.15854312479496,,,casablanca,0.15854312479496,0.8025274872779846,Palestine,بنطالب بإطلاق سراح سلامة و شفيق فوراً و حالاً,unknown,Palestine,24 - مسلسل كفر اللوز - الجزء الثاني - الحلقة العاشرة_995.4478125_1000.8815625000001_49072_1.wav,5.140158337,بنطالب بإطلاق سراح سلامة و شفيق فوراً و حالاً,0.6439843624830246,0.6439843624830246,0.1585431694984436,0.643984317779541
