dataset,wer_bin,n,mean_wer,rmse_b2,rmse_direct,mae_b2,mae_direct,b2_win_rate,direct_win_rate
ALL,0.00-0.10,1468,0.0109925906953021,0.035378955374114736,0.17291254033904563,0.01427513570949764,0.11731689254460814,0.9141689373297003,0.08583106267029973
ALL,0.10-0.25,1670,0.17379480981737133,0.09780434188607151,0.14217342017097945,0.05631087464867824,0.09785744466144615,0.6964071856287425,0.30359281437125746
ALL,0.25-0.50,4566,0.3652165893871056,0.12981345643927292,0.15011161252551877,0.07692431974484752,0.10253351247908983,0.6381953569864214,0.3618046430135786
ALL,0.50-0.75,4190,0.5882201517759518,0.18411827003501996,0.17808280947408575,0.11603683492088758,0.12500381264722338,0.5661097852028639,0.433890214797136
ALL,0.75-1.00,1880,0.828713895402414,0.23168300736933517,0.20027913463957814,0.157952356860728,0.1451557423855812,0.48723404255319147,0.5127659574468085
ALL,1.00+,1737,1.2350762656426788,0.3425198416621784,0.2817555858804347,0.2426494663995315,0.21084497669638308,0.459412780656304,0.540587219343696
casablanca,0.00-0.10,224,0.008647397333059097,0.05405011571611217,0.19539648246304103,0.020595211876103085,0.13430794036997082,0.8839285714285714,0.11607142857142858
casablanca,0.10-0.25,364,0.17878427969984115,0.09604760105665963,0.16598708091874925,0.057487002955455405,0.12030481304787867,0.717032967032967,0.28296703296703296
casablanca,0.25-0.50,1473,0.3646586808640498,0.13404876956040981,0.16466860872167766,0.08148897599274936,0.11804729522414852,0.6530889341479973,0.3469110658520027
casablanca,0.50-0.75,2043,0.6032312861847575,0.18703347970020542,0.18402210866547025,0.12219964117476169,0.13432466769284407,0.5663240332843857,0.4336759667156143
casablanca,0.75-1.00,1584,0.8345352888858497,0.229228516166969,0.1986018231135197,0.15579864944815236,0.14444414995354365,0.4861111111111111,0.5138888888888888
casablanca,1.00+,1130,1.2454775326715655,0.32030308076744196,0.26398959252097515,0.2264956573815604,0.19732262488532878,0.45309734513274336,0.5469026548672566
mediaspeech,0.10-0.25,51,0.21044439483158522,0.05629875962189453,0.07746150555354733,0.028443644222425624,0.05437995962480467,0.803921568627451,0.19607843137254902
mediaspeech,0.25-0.50,1244,0.40443368094247945,0.0917971891859812,0.1034160781842642,0.053805475607303414,0.06937901912286656,0.6607717041800643,0.3392282958199357
mediaspeech,0.50-0.75,1138,0.5777980995840254,0.12396669535839523,0.12540299968026097,0.07691892505010489,0.08449348301641492,0.5887521968365553,0.4112478031634446
mediaspeech,0.75-1.00,61,0.7966599949034191,0.16791977613678272,0.12466048960906241,0.11526911195203098,0.08795049125020328,0.4918032786885246,0.5081967213114754
mediaspeech,1.00+,11,3.040824845368515,0.3871459503117123,0.1539544605319541,0.27687492906884176,0.10605857302114638,0.45454545454545453,0.5454545454545454
sada_test,0.00-0.10,1244,0.011414876316799235,0.030838435266617555,0.16854562316589566,0.01313711556374232,0.11425741126415698,0.9196141479099679,0.08038585209003216
sada_test,0.10-0.25,1255,0.1708583190819578,0.09962120481305399,0.1366104841619122,0.057102203770647966,0.09311362764487822,0.6860557768924302,0.3139442231075697
sada_test,0.25-0.50,1849,0.3392759389596184,0.14706946825235193,0.16385368183764987,0.08884216909798189,0.1124807205654448,0.6111411573823688,0.38885884261763115
sada_test,0.50-0.75,1009,0.5695804568277083,0.22936833397019493,0.21305041024746638,0.14767763596775174,0.1518207088431173,0.5401387512388504,0.45986124876114964
sada_test,0.75-1.00,235,0.7977956003074194,0.26060780819834056,0.22583075520678267,0.18354874188604853,0.16480120081794514,0.49361702127659574,0.5063829787234042
sada_test,1.00+,596,1.1820281681265281,0.3803137431638172,0.31431948099292056,0.2726449766360162,0.23841696996302564,0.4714765100671141,0.5285234899328859
