dialect_bucket,genre,n_sources,n_clips,total_duration_sec,total_duration_min
msa,news,4,134,2005.246,33.421
religious_formal,religious,3,120,1795.808,29.93
gulf,drama,3,120,1793.834,29.897
gulf,talkshow,3,120,1799.519,29.992
gulf,podcast,3,120,1797.032,29.951
gulf,street_interview,4,115,1717.487,28.625
levant,drama,2,80,1196.06,19.934
levant,talkshow,3,107,1595.184,26.586
levant,podcast,2,80,1200.0,20.0
levant,street_interview,3,104,1556.362,25.939
egyptian,drama,2,80,1199.194,19.987
egyptian,talkshow,3,96,1430.651,23.844
egyptian,podcast,2,80,1193.088,19.885
egyptian,street_interview,3,104,1550.971,25.85
maghrebi,drama,2,80,1200.0,20.0
maghrebi,talkshow,3,120,1793.718,29.895
maghrebi,podcast,2,80,1200.0,20.0
maghrebi,street_interview,2,51,749.006,12.483
