source_id,n_clips,mean_predicted_aldi,median_predicted_aldi,std_predicted_aldi,min_predicted_aldi,max_predicted_aldi
news_01,26,0.016936,0.006449,0.04003,-0.033062,0.120279
news_02,28,0.020302,0.018223,0.020128,-0.012968,0.062175
news_04,40,0.030575,0.018612,0.034959,-0.029878,0.128014
religious_03,40,0.052794,0.05261,0.038633,-0.016019,0.161108
news_03,40,0.0846,0.052541,0.085774,-0.017353,0.295348
religious_01,40,0.088485,0.052415,0.101565,-0.034768,0.38998
talkshow_08,40,0.309886,0.248374,0.218855,0.058101,0.83509
religious_02,40,0.485556,0.545651,0.267374,-0.010961,0.825234
podcast_maghrebi_02,40,0.504616,0.510109,0.201014,0.056098,0.892818
street_morocco_01,15,0.510912,0.490532,0.237211,0.172189,0.879721
talkshow_11,40,0.628653,0.681461,0.237274,0.087685,0.982964
podcast_egypt_01,40,0.634814,0.662084,0.208463,0.057428,0.922721
street_saudi_03,31,0.636702,0.615895,0.150376,0.393976,0.886264
talkshow_04,40,0.644147,0.681935,0.213688,0.097714,0.963641
podcast_gulf_01,40,0.647576,0.688411,0.198055,0.17294,0.997391
street_jordan_01,40,0.701315,0.725969,0.154277,0.203539,0.90446
podcast_gulf_03,40,0.705502,0.760664,0.189203,0.124607,0.948071
podcast_gulf_02,40,0.711597,0.730857,0.130881,0.444983,0.932246
drama_01,40,0.718514,0.789432,0.204269,0.151062,0.954065
drama_02,40,0.726871,0.842054,0.261708,0.118495,0.992265
talkshow_03,27,0.730427,0.777549,0.214789,0.154005,0.90977
talkshow_02,40,0.751691,0.769247,0.113598,0.452022,0.952516
talkshow_09,40,0.752484,0.811372,0.179183,0.124812,0.964514
talkshow_01,40,0.758892,0.813018,0.221509,-0.012871,0.963649
tvshow_04,40,0.763447,0.884444,0.259738,0.157921,0.983766
street_morocco_02,36,0.772577,0.819468,0.197696,0.081303,0.97177
street_lebanon_01,28,0.773784,0.851198,0.204187,0.126792,0.98051
street_saudi_02,40,0.774018,0.788987,0.134976,0.397666,0.973518
drama_04,40,0.77999,0.861096,0.226428,0.154005,1.009771
talkshow_10,40,0.783117,0.843239,0.169956,0.367921,1.00764
street_saudi_01,40,0.794162,0.822895,0.153981,0.229779,0.969603
podcast_levant_02,40,0.803573,0.830896,0.109141,0.522782,0.961835
podcast_maghrebi_01,40,0.805114,0.836178,0.126162,0.393828,0.963566
tvshow_01,40,0.807078,0.899663,0.234818,0.111871,0.996955
drama_03,40,0.808396,0.909877,0.244646,0.08365,1.002117
talkshow_07,40,0.832287,0.859664,0.128569,0.460186,0.986582
drama_05,40,0.83465,0.876545,0.160125,0.163777,0.969717
podcast_levant_01,40,0.841057,0.846902,0.078779,0.61183,0.975049
talkshow_12,40,0.842005,0.867206,0.097995,0.484166,0.943399
street_jordan_02,36,0.864574,0.888756,0.148413,0.1861,0.995706
tvshow_02,40,0.86837,0.922686,0.134378,0.280876,0.979088
podcast_egypt_02,40,0.868447,0.880046,0.067882,0.72532,0.999251
street_egypt_01,37,0.870596,0.914455,0.153556,0.141567,0.995684
tvshow_03,40,0.873751,0.907675,0.145397,0.332389,0.997502
talkshow_05,28,0.896368,0.919231,0.083777,0.655069,0.999021
street_egypt_02,31,0.897531,0.918984,0.081137,0.685413,0.989802
street_egypt_03,36,0.914652,0.926586,0.065279,0.731479,0.998401
talkshow_06,28,0.915572,0.931837,0.056969,0.751817,1.013621
street_saudi_short_01,4,0.941985,0.951404,0.032205,0.896518,0.968613
