source_id,n_clips,mean_predicted_aldi,median_predicted_aldi,std_predicted_aldi,min_predicted_aldi,max_predicted_aldi
news_01,26,0.016936,0.006449,0.04003,-0.033062,0.120279
news_02,28,0.020302,0.018223,0.020128,-0.012968,0.062175
news_04,40,0.030575,0.018612,0.034959,-0.029878,0.128014
religious_03,40,0.052794,0.05261,0.038633,-0.016019,0.161108
news_03,40,0.0846,0.052541,0.085774,-0.017353,0.295348
religious_01,40,0.088485,0.052415,0.101565,-0.034768,0.38998
talkshow_08,40,0.309886,0.248374,0.218855,0.058101,0.83509
religious_02,40,0.485556,0.545651,0.267374,-0.010961,0.825234
street_saudi_03,31,0.636702,0.615895,0.150376,0.393976,0.886264
podcast_gulf_01,40,0.647576,0.688411,0.198055,0.17294,0.997391
podcast_gulf_03,40,0.705502,0.760664,0.189203,0.124607,0.948071
podcast_gulf_02,40,0.711597,0.730857,0.130881,0.444983,0.932246
drama_02,40,0.726871,0.842054,0.261708,0.118495,0.992265
talkshow_09,40,0.752484,0.811372,0.179183,0.124812,0.964514
talkshow_01,40,0.758892,0.813018,0.221509,-0.012871,0.963649
street_saudi_02,40,0.774018,0.788987,0.134976,0.397666,0.973518
drama_04,40,0.77999,0.861096,0.226428,0.154005,1.009771
street_saudi_01,40,0.794162,0.822895,0.153981,0.229779,0.969603
drama_03,40,0.808396,0.909877,0.244646,0.08365,1.002117
street_saudi_short_01,4,0.941985,0.951404,0.032205,0.896518,0.968613
